AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.77          Angle of attack for zero Cn for linear Cn curve (deg)
8.21451        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7092        Cn at stall value for positive angle of attack for linear Cn curve
-0.6505        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0154         Minimum CD value
    -88.00   -0.1538    1.7009
    -87.00   -0.1767    1.6983
    -86.00   -0.1995    1.6948
    -85.00   -0.2219    1.6902
    -84.00   -0.2441    1.6846
    -83.00   -0.2660    1.6780
    -82.00   -0.2876    1.6704
    -81.00   -0.3089    1.6618
    -80.00   -0.3298    1.6523
    -79.00   -0.3504    1.6418
    -78.00   -0.3705    1.6303
    -77.00   -0.3903    1.6179
    -76.00   -0.4097    1.6046
    -75.00   -0.4286    1.5904
    -74.00   -0.4470    1.5753
    -73.00   -0.4650    1.5593
    -72.00   -0.4825    1.5425
    -71.00   -0.4995    1.5248
    -70.00   -0.5160    1.5063
    -69.00   -0.5319    1.4871
    -68.00   -0.5473    1.4671
    -67.00   -0.5621    1.4463
    -66.00   -0.5763    1.4248
    -65.00   -0.5900    1.4026
    -64.00   -0.6030    1.3798
    -63.00   -0.6154    1.3563
    -62.00   -0.6272    1.3322
    -61.00   -0.6383    1.3075
    -60.00   -0.6488    1.2823
    -59.00   -0.6586    1.2566
    -58.00   -0.6678    1.2303
    -57.00   -0.6762    1.2036
    -56.00   -0.6840    1.1765
    -55.00   -0.6911    1.1490
    -54.00   -0.6974    1.1211
    -53.00   -0.7030    1.0929
    -52.00   -0.7080    1.0644
    -51.00   -0.7121    1.0357
    -50.00   -0.7156    1.0067
    -49.00   -0.7182    0.9775
    -48.00   -0.7202    0.9482
    -47.00   -0.7214    0.9188
    -46.00   -0.7218    0.8892
    -45.00   -0.7215    0.8597
    -44.00   -0.7204    0.8301
    -43.00   -0.7186    0.8005
    -42.00   -0.7160    0.7710
    -41.00   -0.7126    0.7416
    -40.00   -0.7085    0.7123
    -39.00   -0.7037    0.6832
    -38.00   -0.6981    0.6542
    -37.00   -0.6918    0.6255
    -36.00   -0.6847    0.5971
    -35.00   -0.6770    0.5690
    -34.00   -0.6687    0.5412
    -33.00   -0.6597    0.5137
    -32.00   -0.6501    0.4867
    -31.00   -0.6400    0.4601
    -30.00   -0.6295    0.4339
    -29.00   -0.6187    0.4082
    -28.00   -0.6078    0.3829
    -27.00   -0.5972    0.3582
    -26.00   -0.5873    0.3339
    -25.00   -0.5789    0.3101
    -24.00   -0.5735    0.2866
    -23.00   -0.5735    0.2633
    -22.00   -0.5839    0.2399
    -21.00   -0.6140    0.2157
    -20.00   -0.6616    0.2558
    -19.50   -0.6489    0.2476
    -19.00   -0.6357    0.2396
    -18.50   -0.6224    0.2324
    -18.00   -0.6113    0.2286
    -17.50   -0.6050    0.2271
    -17.00   -0.5995    0.2248
    -16.50   -0.5887    0.2198
    -16.00   -0.5616    0.1964
    -15.50   -0.5410    0.1867
    -15.00   -0.5261    0.1802
    -14.50   -0.5152    0.1763
    -14.00   -0.5264    0.1832
    -13.50   -0.4915    0.1624
    -13.00   -0.4756    0.1558
    -12.50   -0.4628    0.1497
    -12.00   -0.4537    0.1445
    -11.50   -0.4580    0.1434
    -11.00   -0.4610    0.1419
    -10.50   -0.4568    0.1371
    -10.00   -0.4208    0.1182
     -9.50   -0.4040    0.1117
     -9.00   -0.3971    0.1062
     -8.50   -0.4127    0.1050
     -8.00   -0.4305    0.1031
     -7.50   -0.4039    0.0881
     -7.00   -0.3967    0.0830
     -6.50   -0.4109    0.0786
     -5.50   -0.4192    0.0660
     -4.50   -0.3972    0.0546
     -4.00   -0.3216    0.0336
     -3.50   -0.2737    0.0293
     -3.00   -0.2217    0.0246
     -2.50   -0.1707    0.0216
     -2.00   -0.1232    0.0197
     -1.50   -0.0696    0.0162
     -1.00   -0.0397    0.0154
     -0.50    0.0477    0.0166
      0.00    0.1486    0.0177
      0.50    0.2471    0.0183
      1.00    0.3386    0.0185
      1.50    0.4246    0.0183
      2.00    0.4977    0.0178
      2.50    0.5651    0.0172
      3.00    0.6270    0.0166
      3.50    0.6840    0.0164
      4.00    0.7373    0.0166
      4.50    0.7859    0.0172
      5.00    0.8329    0.0180
      5.50    0.8798    0.0190
      6.00    0.9254    0.0201
      6.50    0.9705    0.0214
      7.00    1.0132    0.0227
      7.50    1.0478    0.0236
      8.00    1.0927    0.0262
      8.50    1.1211    0.0272
      9.00    1.1480    0.0281
      9.50    1.1484    0.0330
     10.00    1.1476    0.0386
     10.50    1.1610    0.0440
     11.00    1.1664    0.0504
     11.50    1.1548    0.0579
     12.00    1.1277    0.0668
     12.50    1.0890    0.0779
     13.00    1.0412    0.0931
     13.50    0.9852    0.1138
     14.00    0.9373    0.1367
     14.50    0.9161    0.1536
     15.00    0.9082    0.1677
     15.50    0.9023    0.1852
     16.00    0.9024    0.2006
     16.50    0.9212    0.2257
     17.00    0.9278    0.2365
     17.50    0.9298    0.2450
     18.00    0.9201    0.2493
     18.50    0.9244    0.2590
     19.00    0.9305    0.2692
     19.50    0.9371    0.2793
     20.00    0.9458    0.2899
     21.00    0.9156    0.2050
     22.00    0.9094    0.2273
     23.00    0.9062    0.2504
     24.00    0.9058    0.2741
     25.00    0.9076    0.2984
     26.00    0.9113    0.3234
     27.00    0.9165    0.3490
     28.00    0.9230    0.3752
     29.00    0.9305    0.4019
     30.00    0.9387    0.4291
     31.00    0.9474    0.4568
     32.00    0.9565    0.4850
     33.00    0.9657    0.5136
     34.00    0.9749    0.5426
     35.00    0.9841    0.5720
     36.00    0.9930    0.6017
     37.00    1.0016    0.6317
     38.00    1.0098    0.6620
     39.00    1.0175    0.6925
     40.00    1.0247    0.7233
     41.00    1.0312    0.7542
     42.00    1.0370    0.7852
     43.00    1.0421    0.8164
     44.00    1.0464    0.8476
     45.00    1.0498    0.8788
     46.00    1.0524    0.9100
     47.00    1.0541    0.9412
     48.00    1.0548    0.9723
     49.00    1.0546    1.0033
     50.00    1.0533    1.0342
     51.00    1.0510    1.0648
     52.00    1.0477    1.0952
     53.00    1.0434    1.1254
     54.00    1.0379    1.1552
     55.00    1.0314    1.1848
     56.00    1.0238    1.2139
     57.00    1.0150    1.2427
     58.00    1.0052    1.2710
     59.00    0.9943    1.2988
     60.00    0.9822    1.3261
     61.00    0.9691    1.3529
     62.00    0.9548    1.3791
     63.00    0.9394    1.4047
     64.00    0.9230    1.4297
     65.00    0.9054    1.4539
     66.00    0.8868    1.4775
     67.00    0.8671    1.5004
     68.00    0.8464    1.5225
     69.00    0.8247    1.5438
     70.00    0.8019    1.5644
     71.00    0.7782    1.5841
     72.00    0.7534    1.6029
     73.00    0.7278    1.6208
     74.00    0.7012    1.6379
     75.00    0.6738    1.6540
     76.00    0.6454    1.6692
     77.00    0.6163    1.6834
     78.00    0.5863    1.6967
     79.00    0.5556    1.7089
     80.00    0.5242    1.7201
     81.00    0.4920    1.7304
     82.00    0.4593    1.7395
     83.00    0.4259    1.7477
     84.00    0.3919    1.7547
     85.00    0.3574    1.7607
     86.00    0.3224    1.7656
     87.00    0.2870    1.7695
     88.00    0.2511    1.7723
     89.00    0.2150    1.7739
     90.00    0.1785    1.7745
     91.00    0.1417    1.7740
     92.00    0.1048    1.7724
     93.00    0.0677    1.7697
     94.00    0.0304    1.7660
     95.00   -0.0068    1.7611
     96.00   -0.0441    1.7552
     97.00   -0.0814    1.7482
     98.00   -0.1185    1.7402
     99.00   -0.1555    1.7311
    100.00   -0.1923    1.7210
    101.00   -0.2289    1.7098
    102.00   -0.2652    1.6977
    103.00   -0.3011    1.6845
    104.00   -0.3366    1.6704
    105.00   -0.3716    1.6553
    106.00   -0.4062    1.6393
    107.00   -0.4402    1.6223
    108.00   -0.4736    1.6045
    109.00   -0.5110    1.5857
    110.00   -0.5429    1.5662
    111.00   -0.5741    1.5457
    112.00   -0.6045    1.5245
    113.00   -0.6341    1.5025
    114.00   -0.6629    1.4798
    115.00   -0.6907    1.4563
    116.00   -0.7175    1.4322
    117.00   -0.7433    1.4073
    118.00   -0.7681    1.3819
    119.00   -0.7919    1.3558
    120.00   -0.8145    1.3292
    121.00   -0.8360    1.3021
    122.00   -0.8563    1.2744
    123.00   -0.8754    1.2463
    124.00   -0.8933    1.2177
    125.00   -0.9099    1.1887
    126.00   -0.9252    1.1594
    127.00   -0.9393    1.1298
    128.00   -0.9520    1.0998
    129.00   -0.9634    1.0697
    130.00   -0.9735    1.0392
    131.00   -0.9821    1.0087
    132.00   -0.9895    0.9779
    133.00   -0.9954    0.9471
    134.00   -0.9999    0.9162
    135.00   -1.0031    0.8853
    136.00   -1.0048    0.8544
    137.00   -1.0052    0.8236
    138.00   -1.0042    0.7928
    139.00   -1.0018    0.7622
    140.00   -0.9980    0.7317
    141.00   -0.9929    0.7014
    142.00   -0.9864    0.6713
    143.00   -0.9786    0.6416
    144.00   -0.9695    0.6121
    145.00   -0.9591    0.5830
    146.00   -0.9475    0.5543
    147.00   -0.9346    0.5259
    148.00   -0.9206    0.4981
    149.00   -0.9053    0.4707
    150.00   -0.8890    0.4438
    151.00   -0.8716    0.4175
    152.00   -0.8531    0.3917
    153.00   -0.8337    0.3666
    154.00   -0.8133    0.3421
    155.00   -0.7921    0.3183
    156.00   -0.7701    0.2952
    157.00   -0.7475    0.2728
    158.00   -0.7243    0.2511
    159.00   -0.7007    0.2302
    160.00   -0.6767    0.2102
    161.00   -0.6528    0.1910
    162.00   -0.6290    0.1726
    163.00   -0.6058    0.1551
    164.00   -0.5835    0.1384
    165.00   -0.5629    0.1227
    166.00   -0.5448    0.1079
    167.00   -0.5305    0.0941
    168.00   -0.5215    0.0812
    169.00   -0.5201    0.0694
    170.00   -0.5287    0.0585
    171.00   -0.5487    0.0486
    172.00   -0.5780    0.0397
    173.00   -0.6054    0.0318
    174.00   -0.6094    0.0250
    175.00   -0.5700    0.0192
    176.00   -0.4872    0.0144
    177.00   -0.3784    0.0108
    178.00   -0.2606    0.0081
    179.00   -0.1414    0.0065
    180.00   -0.0222    0.0060
    180.00   -0.0222    0.0060
