AeroDyn airfoil file Created with QBlade v0.963 64bit on 04.04.2021 at 22:21:37 Compatible with AeroDyn v13.0.
Polar "T1_Re0.082_M0.00_N9.0 360 M" on Foil "T1_Re0.082_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.55          Angle of attack for zero Cn for linear Cn curve (deg)
8.86492        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5836        Cn at stall value for positive angle of attack for linear Cn curve
-0.6111        Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0190         Minimum CD value
   -124.00    0.3982    1.1624
   -123.00    0.3861    1.1890
   -122.00    0.3738    1.2152
   -121.00    0.3612    1.2410
   -120.00    0.3484    1.2662
   -119.00    0.3355    1.2910
   -118.00    0.3223    1.3152
   -117.00    0.3091    1.3388
   -116.00    0.2957    1.3619
   -115.00    0.2822    1.3843
   -114.00    0.2686    1.4060
   -113.00    0.2549    1.4271
   -112.00    0.2412    1.4474
   -111.00    0.2274    1.4670
   -110.00    0.2135    1.4859
   -109.00    0.1991    1.5040
   -108.00    0.1853    1.5213
   -107.00    0.1714    1.5378
   -106.00    0.1576    1.5535
   -105.00    0.1438    1.5683
   -104.00    0.1300    1.5822
   -103.00    0.1162    1.5952
   -102.00    0.1025    1.6073
   -101.00    0.0888    1.6186
   -100.00    0.0751    1.6288
    -99.00    0.0615    1.6382
    -98.00    0.0480    1.6466
    -97.00    0.0345    1.6540
    -96.00    0.0211    1.6605
    -95.00    0.0077    1.6659
    -94.00   -0.0056    1.6704
    -93.00   -0.0188    1.6739
    -92.00   -0.0320    1.6764
    -91.00   -0.0451    1.6779
    -90.00   -0.0581    1.6784
    -89.00   -0.0711    1.6779
    -88.00   -0.0840    1.6764
    -87.00   -0.0968    1.6739
    -86.00   -0.1096    1.6704
    -85.00   -0.1222    1.6659
    -84.00   -0.1348    1.6604
    -83.00   -0.1474    1.6540
    -82.00   -0.1598    1.6466
    -81.00   -0.1721    1.6382
    -80.00   -0.1844    1.6288
    -79.00   -0.1966    1.6185
    -78.00   -0.2087    1.6073
    -77.00   -0.2207    1.5952
    -76.00   -0.2326    1.5821
    -75.00   -0.2444    1.5682
    -74.00   -0.2561    1.5534
    -73.00   -0.2676    1.5378
    -72.00   -0.2790    1.5213
    -71.00   -0.2904    1.5040
    -70.00   -0.3015    1.4859
    -69.00   -0.3125    1.4670
    -68.00   -0.3234    1.4474
    -67.00   -0.3341    1.4270
    -66.00   -0.3446    1.4059
    -65.00   -0.3549    1.3842
    -64.00   -0.3651    1.3618
    -63.00   -0.3750    1.3387
    -62.00   -0.3847    1.3151
    -61.00   -0.3941    1.2909
    -60.00   -0.4033    1.2661
    -59.00   -0.4123    1.2409
    -58.00   -0.4209    1.2151
    -57.00   -0.4293    1.1889
    -56.00   -0.4373    1.1623
    -55.00   -0.4450    1.1352
    -54.00   -0.4524    1.1078
    -53.00   -0.4594    1.0801
    -52.00   -0.4660    1.0521
    -51.00   -0.4722    1.0238
    -50.00   -0.4780    0.9953
    -49.00   -0.4834    0.9666
    -48.00   -0.4883    0.9378
    -47.00   -0.4928    0.9088
    -46.00   -0.4968    0.8797
    -45.00   -0.5002    0.8506
    -44.00   -0.5032    0.8214
    -43.00   -0.5056    0.7923
    -42.00   -0.5075    0.7632
    -41.00   -0.5088    0.7342
    -40.00   -0.5096    0.7053
    -39.00   -0.5097    0.6766
    -38.00   -0.5093    0.6481
    -37.00   -0.5082    0.6198
    -36.00   -0.5065    0.5917
    -35.00   -0.5042    0.5639
    -34.00   -0.5013    0.5365
    -33.00   -0.4977    0.5094
    -32.00   -0.4935    0.4827
    -31.00   -0.4887    0.4564
    -30.00   -0.4834    0.4305
    -29.00   -0.4774    0.4052
    -28.00   -0.4709    0.3803
    -27.00   -0.4639    0.3560
    -26.00   -0.4565    0.3322
    -25.00   -0.4488    0.3090
    -24.00   -0.4410    0.2864
    -23.00   -0.4332    0.2644
    -22.00   -0.4258    0.2431
    -21.00   -0.4192    0.2223
    -20.00   -0.6123    0.2501
    -19.50   -0.5977    0.2427
    -19.00   -0.5828    0.2356
    -18.50   -0.5678    0.2290
    -18.00   -0.5537    0.2238
    -17.50   -0.5425    0.2205
    -17.00   -0.5228    0.2088
    -16.50   -0.5067    0.2018
    -16.00   -0.4910    0.1958
    -15.50   -0.4764    0.1912
    -15.00   -0.4694    0.1906
    -14.50   -0.4684    0.1902
    -14.00   -0.4357    0.1720
    -13.50   -0.4190    0.1645
    -13.00   -0.4047    0.1580
    -12.50   -0.3916    0.1517
    -12.00   -0.3809    0.1460
    -11.50   -0.3793    0.1429
    -11.00   -0.3802    0.1400
    -10.50   -0.3494    0.1265
    -10.00   -0.3378    0.1211
     -9.50   -0.3378    0.1207
     -9.00   -0.3383    0.1201
     -8.50   -0.3078    0.1019
     -8.00   -0.3019    0.0967
     -7.50   -0.3045    0.0927
     -7.00   -0.3188    0.0906
     -6.50   -0.3373    0.0901
     -6.00   -0.3519    0.0888
     -5.00   -0.3516    0.0713
     -4.50   -0.2767    0.0637
     -4.00   -0.2242    0.0560
     -3.50   -0.1484    0.0496
     -3.00   -0.0882    0.0440
     -2.00    0.1078    0.0327
     -1.50    0.1814    0.0285
     -1.00    0.2473    0.0255
     -0.50    0.3272    0.0229
      0.50    0.4618    0.0190
      1.00    0.5158    0.0195
      1.50    0.5608    0.0199
      2.00    0.6181    0.0202
      2.50    0.6600    0.0207
      3.00    0.7159    0.0208
      3.50    0.7579    0.0218
      4.00    0.8135    0.0217
      4.50    0.8557    0.0229
      5.00    0.9097    0.0230
      5.50    0.9522    0.0242
      6.00    1.0048    0.0246
      6.50    1.0452    0.0262
      7.00    1.0967    0.0264
      7.50    1.1355    0.0285
      8.00    1.1865    0.0289
      8.50    1.2220    0.0308
      9.00    1.2733    0.0315
      9.50    1.3195    0.0312
     10.00    1.3482    0.0318
     10.50    1.3650    0.0323
     11.00    1.3475    0.0336
     11.50    1.3243    0.0376
     12.00    1.2913    0.0448
     12.50    1.2551    0.0541
     13.00    1.2220    0.0641
     13.50    1.1971    0.0736
     14.00    1.1819    0.0822
     14.50    1.1828    0.0890
     15.00    1.1790    0.0974
     15.50    1.1611    0.1085
     16.00    1.1281    0.1233
     16.50    1.0861    0.1413
     17.00    1.0463    0.1617
     17.50    0.9906    0.1971
     18.00    0.9830    0.2142
     18.50    0.9940    0.2255
     19.00    0.9889    0.2639
     19.50    0.9932    0.2746
     20.00    0.9845    0.2791
     21.00    0.9614    0.2121
     22.00    0.9614    0.2346
     23.00    0.9656    0.2578
     24.00    0.9731    0.2816
     25.00    0.9833    0.3060
     26.00    0.9956    0.3311
     27.00    1.0095    0.3567
     28.00    1.0246    0.3829
     29.00    1.0406    0.4096
     30.00    1.0572    0.4368
     31.00    1.0741    0.4646
     32.00    1.0912    0.4928
     33.00    1.1082    0.5215
     34.00    1.1250    0.5506
     35.00    1.1415    0.5801
     36.00    1.1574    0.6099
     37.00    1.1728    0.6401
     38.00    1.1875    0.6705
     39.00    1.2015    0.7012
     40.00    1.2146    0.7321
     41.00    1.2267    0.7633
     42.00    1.2379    0.7945
     43.00    1.2480    0.8259
     44.00    1.2570    0.8574
     45.00    1.2648    0.8889
     46.00    1.2715    0.9204
     47.00    1.2769    0.9519
     48.00    1.2810    0.9833
     49.00    1.2838    1.0146
     50.00    1.2853    1.0458
     51.00    1.2853    1.0767
     52.00    1.2840    1.1075
     53.00    1.2813    1.1380
     54.00    1.2771    1.1682
     55.00    1.2714    1.1981
     56.00    1.2643    1.2276
     57.00    1.2557    1.2567
     58.00    1.2456    1.2853
     59.00    1.2340    1.3135
     60.00    1.2209    1.3412
     61.00    1.2063    1.3683
     62.00    1.1902    1.3949
     63.00    1.1726    1.4209
     64.00    1.1535    1.4462
     65.00    1.1330    1.4708
     66.00    1.1110    1.4947
     67.00    1.0876    1.5179
     68.00    1.0628    1.5404
     69.00    1.0365    1.5620
     70.00    1.0089    1.5828
     71.00    0.9800    1.6028
     72.00    0.9497    1.6219
     73.00    0.9182    1.6402
     74.00    0.8854    1.6575
     75.00    0.8514    1.6738
     76.00    0.8162    1.6893
     77.00    0.7799    1.7037
     78.00    0.7426    1.7171
     79.00    0.7041    1.7296
     80.00    0.6647    1.7410
     81.00    0.6244    1.7513
     82.00    0.5832    1.7607
     83.00    0.5411    1.7689
     84.00    0.4982    1.7761
     85.00    0.4547    1.7822
     86.00    0.4104    1.7872
     87.00    0.3656    1.7910
     88.00    0.3203    1.7938
     89.00    0.2744    1.7955
     90.00    0.2282    1.7961
     91.00    0.1816    1.7956
     92.00    0.1348    1.7939
     93.00    0.0877    1.7912
     94.00    0.0405    1.7873
     95.00   -0.0068    1.7824
     96.00   -0.0541    1.7763
     97.00   -0.1013    1.7692
     98.00   -0.1483    1.7610
     99.00   -0.1952    1.7517
    100.00   -0.2417    1.7414
    101.00   -0.2879    1.7300
    102.00   -0.3337    1.7177
    103.00   -0.3790    1.7043
    104.00   -0.4237    1.6899
    105.00   -0.4678    1.6745
    106.00   -0.5113    1.6582
    107.00   -0.5539    1.6409
    108.00   -0.5957    1.6228
    109.00   -0.6392    1.6037
    110.00   -0.6791    1.5838
    111.00   -0.7180    1.5630
    112.00   -0.7558    1.5414
    113.00   -0.7925    1.5191
    114.00   -0.8280    1.4959
    115.00   -0.8623    1.4721
    116.00   -0.8953    1.4475
    117.00   -0.9269    1.4223
    118.00   -0.9571    1.3964
    119.00   -0.9859    1.3699
    120.00   -1.0132    1.3429
    121.00   -1.0390    1.3153
    122.00   -1.0633    1.2872
    123.00   -1.0859    1.2586
    124.00   -1.1069    1.2296
    125.00   -1.1263    1.2002
    126.00   -1.1440    1.1705
    127.00   -1.1600    1.1404
    128.00   -1.1743    1.1100
    129.00   -1.1869    1.0794
    130.00   -1.1977    1.0486
    131.00   -1.2068    1.0176
    132.00   -1.2141    0.9864
    133.00   -1.2196    0.9552
    134.00   -1.2234    0.9239
    135.00   -1.2255    0.8926
    136.00   -1.2258    0.8613
    137.00   -1.2243    0.8301
    138.00   -1.2212    0.7989
    139.00   -1.2163    0.7679
    140.00   -1.2098    0.7371
    141.00   -1.2016    0.7064
    142.00   -1.1918    0.6761
    143.00   -1.1804    0.6460
    144.00   -1.1674    0.6162
    145.00   -1.1530    0.5868
    146.00   -1.1370    0.5577
    147.00   -1.1197    0.5291
    148.00   -1.1009    0.5010
    149.00   -1.0809    0.4734
    150.00   -1.0596    0.4462
    151.00   -1.0371    0.4197
    152.00   -1.0134    0.3937
    153.00   -0.9888    0.3684
    154.00   -0.9631    0.3437
    155.00   -0.9366    0.3197
    156.00   -0.9094    0.2964
    157.00   -0.8815    0.2739
    158.00   -0.8531    0.2521
    159.00   -0.8245    0.2311
    160.00   -0.7957    0.2109
    161.00   -0.7670    0.1916
    162.00   -0.7389    0.1731
    163.00   -0.7116    0.1555
    164.00   -0.6860    0.1388
    165.00   -0.6626    0.1230
    166.00   -0.6428    0.1082
    167.00   -0.6281    0.0943
    168.00   -0.6205    0.0814
    169.00   -0.6228    0.0694
    170.00   -0.6372    0.0585
    171.00   -0.6639    0.0486
    172.00   -0.6958    0.0397
    173.00   -0.7147    0.0318
    174.00   -0.6973    0.0250
    175.00   -0.6336    0.0192
    176.00   -0.5358    0.0144
    177.00   -0.4227    0.0108
    178.00   -0.3061    0.0081
    179.00   -0.1893    0.0065
    180.00   -0.0725    0.0060
    180.00   -0.0725    0.0060
