AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.04.2021 at 22:24:34 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.58          Angle of attack for zero Cn for linear Cn curve (deg)
9.15944        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5923        Cn at stall value for positive angle of attack for linear Cn curve
-0.6245        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0274         Minimum CD value
    -90.00   -0.0942    1.6842
    -89.00   -0.1146    1.6837
    -88.00   -0.1350    1.6821
    -87.00   -0.1551    1.6796
    -86.00   -0.1751    1.6761
    -85.00   -0.1949    1.6716
    -84.00   -0.2145    1.6661
    -83.00   -0.2339    1.6596
    -82.00   -0.2530    1.6521
    -81.00   -0.2718    1.6437
    -80.00   -0.2904    1.6343
    -79.00   -0.3087    1.6239
    -78.00   -0.3266    1.6126
    -77.00   -0.3443    1.6004
    -76.00   -0.3616    1.5873
    -75.00   -0.3786    1.5733
    -74.00   -0.3952    1.5584
    -73.00   -0.4115    1.5427
    -72.00   -0.4273    1.5261
    -71.00   -0.4428    1.5087
    -70.00   -0.4578    1.4905
    -69.00   -0.4724    1.4715
    -68.00   -0.4866    1.4518
    -67.00   -0.5003    1.4313
    -66.00   -0.5135    1.4101
    -65.00   -0.5263    1.3883
    -64.00   -0.5386    1.3657
    -63.00   -0.5504    1.3426
    -62.00   -0.5616    1.3188
    -61.00   -0.5723    1.2945
    -60.00   -0.5825    1.2696
    -59.00   -0.5922    1.2442
    -58.00   -0.6013    1.2183
    -57.00   -0.6098    1.1919
    -56.00   -0.6177    1.1651
    -55.00   -0.6251    1.1379
    -54.00   -0.6318    1.1104
    -53.00   -0.6380    1.0825
    -52.00   -0.6435    1.0543
    -51.00   -0.6484    1.0259
    -50.00   -0.6527    0.9972
    -49.00   -0.6563    0.9683
    -48.00   -0.6594    0.9393
    -47.00   -0.6617    0.9101
    -46.00   -0.6634    0.8808
    -45.00   -0.6645    0.8515
    -44.00   -0.6649    0.8221
    -43.00   -0.6647    0.7928
    -42.00   -0.6639    0.7634
    -41.00   -0.6624    0.7342
    -40.00   -0.6602    0.7050
    -39.00   -0.6575    0.6760
    -38.00   -0.6541    0.6472
    -37.00   -0.6502    0.6186
    -36.00   -0.6457    0.5902
    -35.00   -0.6406    0.5620
    -34.00   -0.6351    0.5342
    -33.00   -0.6291    0.5067
    -32.00   -0.6227    0.4795
    -31.00   -0.6160    0.4527
    -30.00   -0.6090    0.4263
    -29.00   -0.6020    0.4003
    -28.00   -0.5949    0.3747
    -27.00   -0.5881    0.3495
    -26.00   -0.5818    0.3247
    -25.00   -0.5762    0.3004
    -24.00   -0.5718    0.2765
    -23.00   -0.5691    0.2530
    -22.00   -0.5688    0.2298
    -21.00   -0.5717    0.2069
    -20.00   -0.5789    0.1842
    -19.00   -0.5917    0.1617
    -18.00   -0.6114    0.1392
    -17.00   -0.5546    0.2120
    -16.00   -0.5257    0.2003
    -15.00   -0.5155    0.2027
    -14.00   -0.5095    0.2012
    -13.00   -0.4390    0.1628
    -12.00   -0.4148    0.1526
    -11.00   -0.4276    0.1559
    -10.00   -0.3639    0.1264
     -9.00   -0.3639    0.1224
     -8.00   -0.3241    0.1031
     -7.00   -0.3520    0.1040
     -6.00   -0.3261    0.0843
     -4.00   -0.3981    0.0728
     -3.00   -0.3748    0.0623
     -2.00   -0.0675    0.0334
     -1.00    0.0919    0.0288
      0.00    0.2161    0.0274
      1.00    0.3282    0.0308
      2.00    0.4272    0.0348
      3.00    0.5262    0.0393
      4.00    0.6263    0.0443
      5.00    0.7116    0.0495
      6.00    0.7755    0.0549
      7.00    0.9383    0.0544
      8.00    1.1126    0.0417
      9.00    1.1444    0.0368
     10.00    1.2033    0.0547
     11.00    1.2073    0.0711
     12.00    1.1411    0.0907
     13.00    1.0528    0.1142
     14.00    0.9606    0.1589
     15.00    0.9296    0.1968
     16.00    0.9417    0.2169
     17.00    1.0013    0.2501
     18.00    0.9699    0.2592
     19.00    0.9804    0.2783
     20.00    1.0133    0.3138
     21.00    0.9353    0.1902
     22.00    0.9304    0.2137
     23.00    0.9287    0.2379
     24.00    0.9296    0.2628
     25.00    0.9330    0.2883
     26.00    0.9383    0.3143
     27.00    0.9453    0.3409
     28.00    0.9536    0.3680
     29.00    0.9630    0.3956
     30.00    0.9732    0.4237
     31.00    0.9839    0.4522
     32.00    0.9950    0.4812
     33.00    1.0062    0.5105
     34.00    1.0175    0.5402
     35.00    1.0286    0.5703
     36.00    1.0395    0.6007
     37.00    1.0500    0.6313
     38.00    1.0601    0.6622
     39.00    1.0696    0.6934
     40.00    1.0785    0.7247
     41.00    1.0867    0.7562
     42.00    1.0941    0.7878
     43.00    1.1007    0.8195
     44.00    1.1064    0.8513
     45.00    1.1112    0.8831
     46.00    1.1150    0.9148
     47.00    1.1178    0.9466
     48.00    1.1196    0.9782
     49.00    1.1203    1.0097
     50.00    1.1199    1.0411
     51.00    1.1184    1.0722
     52.00    1.1158    1.1031
     53.00    1.1119    1.1338
     54.00    1.1069    1.1641
     55.00    1.1007    1.1941
     56.00    1.0933    1.2238
     57.00    1.0847    1.2530
     58.00    1.0748    1.2818
     59.00    1.0638    1.3101
     60.00    1.0515    1.3378
     61.00    1.0379    1.3651
     62.00    1.0232    1.3917
     63.00    1.0072    1.4177
     64.00    0.9900    1.4431
     65.00    0.9717    1.4678
     66.00    0.9521    1.4918
     67.00    0.9314    1.5150
     68.00    0.9095    1.5375
     69.00    0.8865    1.5592
     70.00    0.8623    1.5801
     71.00    0.8371    1.6001
     72.00    0.8107    1.6193
     73.00    0.7834    1.6376
     74.00    0.7550    1.6549
     75.00    0.7256    1.6713
     76.00    0.6953    1.6868
     77.00    0.6641    1.7012
     78.00    0.6320    1.7147
     79.00    0.5990    1.7272
     80.00    0.5652    1.7386
     81.00    0.5307    1.7490
     82.00    0.4954    1.7584
     83.00    0.4595    1.7666
     84.00    0.4229    1.7738
     85.00    0.3858    1.7800
     86.00    0.3481    1.7850
     87.00    0.3099    1.7889
     88.00    0.2712    1.7917
     89.00    0.2322    1.7934
     90.00    0.1929    1.7941
     91.00    0.1532    1.7935
     92.00    0.1133    1.7919
     93.00    0.0733    1.7892
     94.00    0.0331    1.7854
     95.00   -0.0071    1.7805
     96.00   -0.0473    1.7745
     97.00   -0.0875    1.7674
     98.00   -0.1276    1.7592
     99.00   -0.1675    1.7500
    100.00   -0.2071    1.7397
    101.00   -0.2466    1.7284
    102.00   -0.2856    1.7161
    103.00   -0.3243    1.7027
    104.00   -0.3625    1.6883
    105.00   -0.4002    1.6730
    106.00   -0.4374    1.6568
    107.00   -0.4739    1.6395
    108.00   -0.5098    1.6214
    109.00   -0.5490    1.6024
    110.00   -0.5833    1.5825
    111.00   -0.6168    1.5618
    112.00   -0.6494    1.5403
    113.00   -0.6811    1.5179
    114.00   -0.7118    1.4949
    115.00   -0.7415    1.4710
    116.00   -0.7701    1.4465
    117.00   -0.7977    1.4213
    118.00   -0.8240    1.3955
    119.00   -0.8493    1.3691
    120.00   -0.8733    1.3421
    121.00   -0.8960    1.3145
    122.00   -0.9175    1.2865
    123.00   -0.9376    1.2580
    124.00   -0.9564    1.2290
    125.00   -0.9738    1.1997
    126.00   -0.9899    1.1699
    127.00   -1.0045    1.1399
    128.00   -1.0177    1.1096
    129.00   -1.0294    1.0790
    130.00   -1.0396    1.0482
    131.00   -1.0484    1.0172
    132.00   -1.0557    0.9861
    133.00   -1.0616    0.9549
    134.00   -1.0659    0.9237
    135.00   -1.0687    0.8924
    136.00   -1.0700    0.8611
    137.00   -1.0699    0.8299
    138.00   -1.0682    0.7988
    139.00   -1.0651    0.7678
    140.00   -1.0606    0.7370
    141.00   -1.0546    0.7064
    142.00   -1.0471    0.6760
    143.00   -1.0383    0.6460
    144.00   -1.0281    0.6162
    145.00   -1.0165    0.5868
    146.00   -1.0037    0.5578
    147.00   -0.9895    0.5292
    148.00   -0.9741    0.5011
    149.00   -0.9575    0.4734
    150.00   -0.9397    0.4463
    151.00   -0.9208    0.4198
    152.00   -0.9009    0.3938
    153.00   -0.8799    0.3685
    154.00   -0.8581    0.3438
    155.00   -0.8353    0.3198
    156.00   -0.8118    0.2965
    157.00   -0.7876    0.2740
    158.00   -0.7629    0.2522
    159.00   -0.7377    0.2312
    160.00   -0.7122    0.2110
    161.00   -0.6866    0.1917
    162.00   -0.6612    0.1732
    163.00   -0.6362    0.1556
    164.00   -0.6121    0.1389
    165.00   -0.5893    0.1231
    166.00   -0.5685    0.1083
    167.00   -0.5504    0.0944
    168.00   -0.5357    0.0814
    169.00   -0.5252    0.0695
    170.00   -0.5187    0.0586
    171.00   -0.5143    0.0486
    172.00   -0.5074    0.0397
    173.00   -0.4906    0.0319
    174.00   -0.4570    0.0250
    175.00   -0.4052    0.0192
    176.00   -0.3395    0.0145
    177.00   -0.2665    0.0108
    178.00   -0.1909    0.0081
    179.00   -0.1149    0.0065
    180.00   -0.0389    0.0060
    180.00   -0.0389    0.0060
